specobjid,SOURCETYPE,RA,Dec,plate,ra,dec,objid,run,rerun,camcol,field,z,mjd,fiberID,run2d,wavelength,red shift,red shift error,flux,g sn,r sn,i sn,central wavelength
501025764846626816,GALAXY                   ,130.61346,49.754185,445,130.61349960302,49.7542050007829,1237651189746565323,1331,301,1,175,0.1864123,51873,1,26,[3.5816 3.5817 3.5818 ... 3.9639 3.964  3.9641],"[ 3.162435    1.8394802  -0.29281315 ... 10.372891   14.054579
 12.61662   ]",-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501026039724533760,GALAXY                   ,130.50245,49.952646,445,130.502496814982,49.9526452500273,1237651249874534681,1345,301,1,151,0.3371834,51873,2,26,[3.5816 3.5817 3.5818 ... 3.9639 3.964  3.9641],[-1.2417002 -0.6283812  1.7732433 ... 10.561894   7.6774898  8.489266 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501026314602440704,GALAXY                   ,130.80185,50.011891,445,130.801833171431,50.0118885755988,1237651249874600266,1345,301,1,152,0.186489,51873,3,26,[3.5815 3.5816 3.5817 ... 3.9639 3.964  3.9641],[1.7316699 2.183385  1.9561297 ... 5.5202556 7.0500503 5.9733834],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501026589480347648,GALAXY                   ,130.62652,50.037049,445,130.62652811744,50.037047131032,1237651249874600531,1345,301,1,152,0.4206361,51873,4,26,[3.5815 3.5816 3.5817 ... 3.9639 3.964  3.9641],[ 2.0882916  0.6201645 -0.0788317 ...  6.127165   6.2766576  6.335728 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501026864358254592,GALAXY                   ,130.66302,50.07183,445,130.663029522217,50.0718255938113,1237651249874600173,1345,301,1,152,0.09534973,51873,5,26,[3.5815 3.5816 3.5817 ... 3.9639 3.964  3.9641],[ 9.050318  6.210182  8.46296  ... 20.790426 23.368444 20.454357],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501027139236161536,GALAXY                   ,130.65008,49.928713,445,130.650100893538,49.9287158883059,1237651249874534526,1345,301,1,151,0.1664238,51873,6,26,[3.5815 3.5816 3.5817 ... 3.9639 3.964  3.9641],[ 5.4220057  6.5629215  8.7709    ... 11.349545  13.658486  11.866762 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501027414114068480,QSO                      ,130.55542,49.843956,445,130.555470999751,49.8439569299889,1237651249874534583,1345,301,1,151,2.030451,51873,7,26,[3.5814 3.5815 3.5816 ... 3.9639 3.964  3.9641],[ 9.264363   5.78258   11.935536  ...  3.8185983  6.189149   5.848268 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501027688991975424,GALAXY                   ,130.44962,49.955264,445,130.449688077166,49.9552790767358,1237651065191858693,1302,301,1,165,0.402256,51873,8,26,[3.5814 3.5815 3.5816 ... 3.9639 3.964  3.9641],[2.4359124 2.248918  0.6201779 ... 3.7213123 3.915827  3.9187772],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501027963869882368,GALAXY                   ,130.54073,50.024759,445,130.540791289279,50.0247573027193,1237651190283501764,1331,301,2,176,0.18413,51873,9,26,[3.5813 3.5814 3.5815 ... 3.9639 3.964  3.9641],[ 7.20369    5.91488    2.9683824 ... 14.957285  12.271701  13.918897 ],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
501028238747789312,GALAXY                   ,130.66571,50.001286,445,130.665712725488,50.0012849305494,1237651249874600286,1345,301,1,152,0.3380218,51873,10,26,[3.5813 3.5814 3.5815 ... 3.9639 3.964  3.9641],[-2.752194   2.3534029  2.7491574 ...  6.397631   6.533153   5.0630727],-0.0841612931263,4.32759940779,22.3807,25.6697,22.9318,3.5792
