specobjid,SOURCETYPE,RA,Dec,plate,ra,dec,objid,run,rerun,camcol,field,z,mjd,fiberID,run2d,wavelength,flux,g sn,r sn,i sn,red shift,red shift error,central wavelength
300633718924535808,GALAXY                   ,149.11249,0.1297301,267,149.112540383361,0.129711336284537,1237651801233686759,1473,301,4,40,0.04578607,51608,67,26,[3.5799 3.58   3.5801 ... 3.964  3.9641 3.9642],[ 3.3858166  6.757945  14.171655  ... 20.71286   21.609715  19.38908  ],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300637017459419136,GALAXY                   ,149.01061,0.13973901,267,149.01062697576,0.139731090337452,1237651801233686675,1473,301,4,40,0.0745739,51608,79,26,[3.5797 3.5798 3.5799 ... 3.9639 3.964  3.9641],[ 3.636065 11.513229 10.353952 ... 24.920021 27.348354 24.04254 ],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300657083546626048,GALAXY                   ,148.72889,0.18885939,267,148.728878022737,0.188860427454444,1237651801233555601,1473,301,4,38,0.0944446,51608,152,26,[3.5792 3.5793 3.5794 ... 3.9633 3.9634 3.9635],"[10.337443    5.252039    0.16828395 ...  7.9028416   6.115906
  5.66974   ]",20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300658183058253824,GALAXY                   ,148.60004,0.12917036,267,148.600083980235,0.12917621624539,1237651801233490073,1473,301,4,37,0.1509164,51608,156,26,[3.5792 3.5793 3.5794 ... 3.9633 3.9634 3.9635],"[ 6.432421    3.1282418  -0.17489086 ... 13.313347   13.938388
 15.408191  ]",20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300663405738485760,GALAXY                   ,148.28257,0.048570229,267,148.282557659253,0.0485849158970548,1237650796220907786,1239,301,4,186,0.1457711,51608,175,26,[3.5792 3.5793 3.5794 ... 3.9282 3.9283 3.9284],[-2.1444824  2.9741857  8.091346  ...  7.1404943  8.316224   8.463105 ],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300670277686159360,GALAXY                   ,147.77579,0.05411649,267,147.775787154554,0.0541332591115724,1237650796220711116,1239,301,4,183,0.08020487,51608,200,26,[3.5795 3.5796 3.5797 ... 3.9631 3.9632 3.9633],[ 2.696887  -4.3321786  3.0716033 ...  5.1711955  6.209191   4.5003176],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300688419628017664,GALAXY                   ,147.51706,0.04412864,267,147.517042550078,0.0441240739846113,1237650796220580155,1239,301,4,181,0.3174041,51608,266,26,[3.5809 3.581  3.5811 ... 3.9629 3.963  3.9631],[ 3.9057949 -2.1700828 -1.143463  ... 10.845924   7.0024967  8.00951  ],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300710684738480128,QSO                      ,147.1701,0.53908692,267,147.16995398044,0.539066662304954,1237651801769705923,1473,301,5,27,2.243463,51608,347,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[18.498877   9.25427   14.624103  ...  2.5089824  3.6407313  3.7526746],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300710959616387072,GALAXY                   ,146.7729,0.70115846,267,146.772935941768,0.701145000171565,1237648722289951090,756,301,5,207,0.03038891,51608,348,26,[3.5814 3.5815 3.5816 ... 3.9643 3.9644 3.9645],[2.0430536 1.9300419 3.8205187 ... 0.9385399 1.2924073 1.007587 ],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
300720030587316224,GALAXY                   ,147.53905,0.59759859,267,147.538964611331,0.597570853860782,1237651801769902317,1473,301,5,30,0.08072105,51608,381,26,[3.5805 3.5806 3.5807 ... 3.9643 3.9644 3.9645],[ 9.655294  5.953058 10.714488 ... 15.609342 15.68224  14.981969],20.5176,21.5656,19.5308,0.312472348343,0.48704635112,3.5791
